file,num_vars,num_clausulas,ratio_clausulas_vars,dur_antiguo_s,dur_nuevo_s,speedup,sat_ratio_antiguo,sat_ratio_nuevo,optima_antiguo,optima_nuevo,delta_clausulas
data/max2sat/10/10/PROBLEM_010_010_01.cnf,10,10,1.0,0.314665,0.333554,0.9434,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_02.cnf,10,10,1.0,0.019822,0.039376,0.5034,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_03.cnf,10,10,1.0,0.016085,0.017986,0.8943,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_04.cnf,10,10,1.0,0.019649,0.042447,0.4629,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_05.cnf,10,10,1.0,0.02932,0.032784,0.8943,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_06.cnf,10,10,1.0,0.03463,0.034327,1.0088,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_07.cnf,10,10,1.0,0.034555,0.048897,0.7067,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_08.cnf,10,10,1.0,0.031266,0.048316,0.6471,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_09.cnf,10,10,1.0,0.027152,0.05636,0.4818,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_10.cnf,10,10,1.0,0.026033,0.05319,0.4894,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_11.cnf,10,10,1.0,0.028093,0.029021,0.968,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_12.cnf,10,10,1.0,0.026984,0.02952,0.9141,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_13.cnf,10,10,1.0,0.027935,0.035904,0.778,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_14.cnf,10,10,1.0,0.026949,0.038075,0.7078,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_15.cnf,10,10,1.0,0.026914,0.057905,0.4648,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_16.cnf,10,10,1.0,0.02655,0.057245,0.4638,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_17.cnf,10,10,1.0,0.026463,0.030348,0.872,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_18.cnf,10,10,1.0,0.025656,0.035161,0.7297,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_19.cnf,10,10,1.0,0.036418,0.034774,1.0473,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_20.cnf,10,10,1.0,0.028254,0.048951,0.5772,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_21.cnf,10,10,1.0,0.026561,0.04843,0.5484,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_22.cnf,10,10,1.0,0.028323,0.043194,0.6557,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_23.cnf,10,10,1.0,0.030992,0.028065,1.1043,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_24.cnf,10,10,1.0,0.059665,0.035802,1.6665,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_25.cnf,10,10,1.0,0.02839,0.032127,0.8837,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_26.cnf,10,10,1.0,0.031761,0.029156,1.0893,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_27.cnf,10,10,1.0,0.032899,0.031048,1.0596,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_28.cnf,10,10,1.0,0.030986,0.028752,1.0777,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_29.cnf,10,10,1.0,0.034823,0.024761,1.4064,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_30.cnf,10,10,1.0,0.037878,0.026059,1.4535,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_31.cnf,10,10,1.0,0.032778,0.027629,1.1864,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_32.cnf,10,10,1.0,0.034883,0.027159,1.2844,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_33.cnf,10,10,1.0,0.031791,0.027679,1.1486,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_34.cnf,10,10,1.0,0.028961,0.026214,1.1048,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_35.cnf,10,10,1.0,0.026713,0.028743,0.9294,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_36.cnf,10,10,1.0,0.027553,0.027913,0.9871,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_37.cnf,10,10,1.0,0.029906,0.027182,1.1002,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_38.cnf,10,10,1.0,0.030568,0.028733,1.0639,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_39.cnf,10,10,1.0,0.032458,0.029668,1.094,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_40.cnf,10,10,1.0,0.02809,0.030701,0.915,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_41.cnf,10,10,1.0,0.030935,0.029817,1.0375,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_42.cnf,10,10,1.0,0.031946,0.031697,1.0079,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_43.cnf,10,10,1.0,0.031939,0.026917,1.1866,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_44.cnf,10,10,1.0,0.026487,0.024925,1.0627,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_45.cnf,10,10,1.0,0.030935,0.027678,1.1177,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_46.cnf,10,10,1.0,0.027116,0.027551,0.9842,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_47.cnf,10,10,1.0,0.029429,0.030471,0.9658,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_48.cnf,10,10,1.0,0.02475,0.021165,1.1694,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_49.cnf,10,10,1.0,0.029721,0.023516,1.2639,1.0,1.0,True,True,0
data/max2sat/10/10/PROBLEM_010_010_50.cnf,10,10,1.0,0.026162,0.024267,1.0781,1.0,1.0,True,True,0
data/max2sat/10/100/PROBLEM_010_100_01.cnf,10,100,10.0,0.035759,0.039188,0.9125,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_02.cnf,10,100,10.0,0.030268,0.024455,1.2377,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_03.cnf,10,100,10.0,0.069294,0.027705,2.5011,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_04.cnf,10,100,10.0,0.023165,0.028018,0.8268,0.89,0.89,False,False,0
data/max2sat/10/100/PROBLEM_010_100_05.cnf,10,100,10.0,0.040274,0.04243,0.9492,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_06.cnf,10,100,10.0,0.041501,0.053552,0.775,0.83,0.83,False,False,0
data/max2sat/10/100/PROBLEM_010_100_07.cnf,10,100,10.0,0.076233,0.046416,1.6424,0.9,0.9,False,False,0
data/max2sat/10/100/PROBLEM_010_100_08.cnf,10,100,10.0,0.057246,0.046482,1.2316,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_09.cnf,10,100,10.0,0.035607,0.033004,1.0789,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_10.cnf,10,100,10.0,0.05092,0.033723,1.5099,0.89,0.89,False,False,0
data/max2sat/10/100/PROBLEM_010_100_11.cnf,10,100,10.0,0.047464,0.036407,1.3037,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_12.cnf,10,100,10.0,0.074198,0.042957,1.7273,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_13.cnf,10,100,10.0,0.049696,0.031906,1.5576,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_14.cnf,10,100,10.0,0.064922,0.034411,1.8867,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_15.cnf,10,100,10.0,0.03683,0.035409,1.0401,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_16.cnf,10,100,10.0,0.039002,0.039254,0.9936,0.84,0.84,False,False,0
data/max2sat/10/100/PROBLEM_010_100_17.cnf,10,100,10.0,0.040689,0.034831,1.1682,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_18.cnf,10,100,10.0,0.049935,0.034957,1.4285,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_19.cnf,10,100,10.0,0.082045,0.03573,2.2962,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_20.cnf,10,100,10.0,0.042346,0.038794,1.0916,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_21.cnf,10,100,10.0,0.061381,0.039915,1.5378,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_22.cnf,10,100,10.0,0.034859,0.033446,1.0422,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_23.cnf,10,100,10.0,0.037203,0.037483,0.9925,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_24.cnf,10,100,10.0,0.046574,0.034908,1.3342,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_25.cnf,10,100,10.0,0.048275,0.038054,1.2686,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_26.cnf,10,100,10.0,0.069169,0.038833,1.7812,0.84,0.84,False,False,0
data/max2sat/10/100/PROBLEM_010_100_27.cnf,10,100,10.0,0.058898,0.037054,1.5895,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_28.cnf,10,100,10.0,0.036807,0.034906,1.0545,0.84,0.84,False,False,0
data/max2sat/10/100/PROBLEM_010_100_29.cnf,10,100,10.0,0.045402,0.035212,1.2894,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_30.cnf,10,100,10.0,0.038014,0.041855,0.9082,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_31.cnf,10,100,10.0,0.053406,0.035929,1.4864,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_32.cnf,10,100,10.0,0.052982,0.034913,1.5175,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_33.cnf,10,100,10.0,0.042609,0.036323,1.1731,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_34.cnf,10,100,10.0,0.067005,0.037607,1.7817,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_35.cnf,10,100,10.0,0.037572,0.039928,0.941,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_36.cnf,10,100,10.0,0.035574,0.035946,0.9897,0.87,0.87,False,False,0
data/max2sat/10/100/PROBLEM_010_100_37.cnf,10,100,10.0,0.037382,0.035571,1.0509,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_38.cnf,10,100,10.0,0.049982,0.035908,1.3919,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_39.cnf,10,100,10.0,0.037247,0.040953,0.9095,0.9,0.9,False,False,0
data/max2sat/10/100/PROBLEM_010_100_40.cnf,10,100,10.0,0.037758,0.037764,0.9998,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_41.cnf,10,100,10.0,0.05192,0.034905,1.4875,0.88,0.88,False,False,0
data/max2sat/10/100/PROBLEM_010_100_42.cnf,10,100,10.0,0.035709,0.039427,0.9057,0.9,0.9,False,False,0
data/max2sat/10/100/PROBLEM_010_100_43.cnf,10,100,10.0,0.047929,0.040924,1.1712,0.84,0.84,False,False,0
data/max2sat/10/100/PROBLEM_010_100_44.cnf,10,100,10.0,0.041001,0.038884,1.0544,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_45.cnf,10,100,10.0,0.034697,0.034985,0.9918,0.83,0.83,False,False,0
data/max2sat/10/100/PROBLEM_010_100_46.cnf,10,100,10.0,0.039727,0.039968,0.994,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_47.cnf,10,100,10.0,0.040348,0.038905,1.0371,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_48.cnf,10,100,10.0,0.044807,0.040071,1.1182,0.85,0.85,False,False,0
data/max2sat/10/100/PROBLEM_010_100_49.cnf,10,100,10.0,0.032958,0.034919,0.9438,0.86,0.86,False,False,0
data/max2sat/10/100/PROBLEM_010_100_50.cnf,10,100,10.0,0.035523,0.035654,0.9963,0.89,0.89,False,False,0
data/max2sat/10/20/PROBLEM_010_020_01.cnf,10,20,2.0,0.029305,0.037507,0.7813,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_02.cnf,10,20,2.0,0.033332,0.022059,1.511,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_03.cnf,10,20,2.0,0.019309,0.021612,0.8934,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_04.cnf,10,20,2.0,0.025226,0.024782,1.0179,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_05.cnf,10,20,2.0,0.037315,0.042976,0.8683,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_06.cnf,10,20,2.0,0.03416,0.041154,0.8301,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_07.cnf,10,20,2.0,0.042164,0.041229,1.0227,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_08.cnf,10,20,2.0,0.053234,0.043718,1.2177,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_09.cnf,10,20,2.0,0.02981,0.03748,0.7954,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_10.cnf,10,20,2.0,0.03379,0.033584,1.0061,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_11.cnf,10,20,2.0,0.033996,0.034549,0.984,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_12.cnf,10,20,2.0,0.031776,0.033098,0.9601,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_13.cnf,10,20,2.0,0.031794,0.032884,0.9669,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_14.cnf,10,20,2.0,0.030752,0.032934,0.9337,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_15.cnf,10,20,2.0,0.034914,0.03126,1.1169,0.95,0.95,False,False,0
data/max2sat/10/20/PROBLEM_010_020_16.cnf,10,20,2.0,0.030927,0.040187,0.7696,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_17.cnf,10,20,2.0,0.030914,0.031151,0.9924,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_18.cnf,10,20,2.0,0.028836,0.029746,0.9694,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_19.cnf,10,20,2.0,0.034785,0.030508,1.1402,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_20.cnf,10,20,2.0,0.030913,0.038926,0.7941,1.0,1.0,True,True,0
data/max2sat/10/20/PROBLEM_010_020_21.cnf,10,20,2.0,0.032105,0.028023,1.1457,1.0,1.0,True,True,0
